MutantID	Fitness
P45	-0.993548387096774
P39	-0.9483870967741933
P12	-0.7999999999999998
P52	-0.7741935483870965
P37	-0.6322580645161289
P1	-0.6322580645161289
P48	-0.5483870967741933
P42	-0.5612903225806449
P47	-0.5354838709677416
P33	-0.5354838709677416
P43	-0.5354838709677416
P54	-0.490322580645161
P5	-0.490322580645161
P32	-0.4838709677419353
P41	-0.458064516129032
P36	-0.38709677419354827
P19	-0.38709677419354827
P49	-0.35483870967741904
P26	-0.3354838709677417
P3	-0.3096774193548384
P14	-0.29677419354838697
P27	-0.2516129032258063
P25	-0.1612903225806448
P23	-0.11612903225806415
P29	-0.15483870967741908
P11	-0.13548387096774173
P35	-0.08387096774193514
P16	-0.06451612903225779
P17	-0.05806451612903185
P18	-0.019354838709677136
P30	0.012903225806451868
P6	0.04516129032258087
P15	0.051612903225806805
P7	0.05806451612903252
P9	0.32903225806451664
P10	0.4129032258064518
